release_month,english,developer,publisher,required_age,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price
Sep,1,"MicroProse Software, Inc",2K,0,0,2165,136,2235,2224,1000000-2000000,2.99
May,1,The Farm 51,1C Entertainment,0,0,539,270,113,113,100000-200000,3.99
Nov,1,Infinity Ward;Aspyr (Mac),Activision;Aspyr (Mac),0,0,8725,821,1417,1503,1000000-2000000,19.99
Jun,1,Crystal Dynamics;Feral Interactive (Mac),Square Enix;Feral Interactive (Mac),16,0,1964,389,239,280,500000-1000000,6.99
Dec,1,IO Interactive,Square Enix,0,0,1223,724,209,209,200000-500000,4.99
Nov,1,Crystal Dynamics,Square Enix,16,0,1779,594,313,565,500000-1000000,6.99
May,1,Eidos Studio Hungary,Square Enix,0,0,1028,542,132,132,200000-500000,6.99
Mar,1,Avalanche Studios,Square Enix,18,50,33636,3231,519,272,2000000-5000000,9.99
Jun,1,Bizarre Creations,Activision,0,0,583,62,109,109,100000-200000,2.99
Dec,1,CCP,CCP,0,0,8317,2832,5123,230,1000000-2000000,0
Oct,1,SimBin,SimBin,0,0,1684,348,1636,218,1000000-2000000,2.49
Jul,1,Firaxis Games,2K,0,0,1396,66,108,108,1000000-2000000,5.99
Mar,1,Irrational Games;Aspyr (Mac);Virtual Programming (Linux),2K;Aspyr (Mac),18,80,79442,3846,614,519,2000000-5000000,19.99
May,1,Irrational Games,2K,0,0,197,150,16,16,200000-500000,2.99
May,1,Irrational Games,2K,0,0,121,28,23,23,200000-500000,2.99
Sep,1,Firaxis Games;Aspyr (Mac);Aspyr (Linux),2K;Aspyr (Mac);Aspyr (Linux),0,286,129030,5565,4760,1797,5000000-10000000,19.99
Aug,1,Gray Matter Studios,Bethesda-Softworks,0,0,3084,276,32,48,200000-500000,3.99
Aug,1,Rogue Entertainment,id Software,0,0,143,15,88,91,200000-500000,2.49
Aug,1,Ritual Entertainment,id Software,0,0,205,13,129,152,200000-500000,2.49
Aug,1,id Software,id Software,0,0,2633,376,362,394,200000-500000,0
Aug,1,Raven Software,id Software,0,0,173,39,10,10,200000-500000,2.99
Aug,1,id Software,id Software,0,0,310,69,7,12,500000-1000000,0
Aug,1,id Software,id Software,0,0,737,51,145,145,200000-500000,2.99
Oct,1,id Software,Bethesda Softworks,16,60,9394,2882,559,392,1000000-2000000,7.99
Aug,1,Relic Entertainment,SEGA,16,0,606,76,213,365,500000-1000000,9.99
Sep,1,Relic Entertainment,SEGA,0,0,579,52,79,106,2000000-5000000,9.99
Sep,1,Gas Powered Games,Square Enix,0,0,1065,162,306,306,1000000-2000000,8.99
Sep,1,Gas Powered Games,Square Enix,0,0,4969,174,803,1067,1000000-2000000,8.99
Mar,1,Relic Entertainment,SEGA,16,0,4887,286,1433,1629,1000000-2000000,9.99
Feb,1,Kaos Studios,THQ Nordic,0,0,378,229,154,154,200000-500000,9.99
Jan,1,Volition,Deep Silver,0,0,9442,2881,322,81,2000000-5000000,9.99
Jul,1,Cryptic Sea,Chronic Logic,0,11,160,94,23,23,200000-500000,5.99
Mar,1,Haggard Games,1C Entertainment,0,0,428,145,64,84,100000-200000,3.99
Jun,1,Cryptic Studios,Perfect World Entertainment,0,709,2081,823,12952,724,1000000-2000000,0
Jan,1,Cryptic Studios,Perfect World Entertainment,0,0,7639,2391,2514,638,1000000-2000000,0
May,1,Krome Studios,Krome Studios,0,20,746,149,222,360,50000-100000,1.99
Nov,1,Artech Studios,Retroism,0,0,48,24,23,23,20000-50000,4.99
Nov,1,Treyarch,Activision,16,0,19595,1483,2331,1108,1000000-2000000,19.99
Jul,1,Sierra,Activision,0,0,125,32,10,19,100000-200000,14.99
Jul,1,Sierra,Activision,0,0,143,42,10,10,100000-200000,9.99
Jun,1,Radical Entertainment,Activision,0,0,3702,904,645,1001,500000-1000000,14.99
Nov,1,Infinity Ward;Aspyr (Mac),Activision;Aspyr (Mac),0,50,30006,2826,999,580,5000000-10000000,19.99
Feb,1,Trashmasters,Akella,18,38,641,1101,411,411,50000-100000,8.99
Feb,1,Akella,Kalypso Media Digital,0,0,618,252,889,889,50000-100000,9.99
Mar,1,CREATIVE ASSEMBLY;Feral Interactive (Mac);Feral Interactive (Linux),SEGA;Feral Interactive (Mac);Feral Interactive (Linux),0,30,14928,1719,3176,1385,2000000-5000000,19.99
Feb,1,Rebellion,SEGA,0,50,9448,1186,170,168,1000000-2000000,9.99
Apr,1,Nadeo,Ubisoft,0,0,8252,1244,902,87,2000000-5000000,0
Nov,1,Frozenbyte,Frozenbyte,0,0,328,239,355,374,200000-500000,6.99
May,1,"CINEMAX, s.r.o.","CINEMAX, s.r.o.",0,0,351,142,46,49,50000-100000,1.79
Oct,1,Meridian4,Meridian4,0,40,299,310,15,15,200000-500000,3.99
Dec,1,Frogames,Frogames,0,10,902,129,91,97,100000-200000,4.79
Mar,1,IonFX,Meridian4,0,17,586,130,41,69,100000-200000,3.99
Mar,1,Meridian4,Meridian4,0,25,523,161,76,108,100000-200000,3.99
Jul,1,2DEngine.com,Meridian4,0,0,433,148,36,36,100000-200000,3.99
Nov,1,Triumph Studios;Virtual Programming,Codemasters,0,0,3439,276,304,304,1000000-2000000,3.49
Feb,1,Deep Red Limited,Codemasters,0,0,175,301,119,176,200000-500000,3.49
Jan,1,Rockstar Games,Rockstar Games,18,0,4718,750,98,63,1000000-2000000,5.99
Jan,1,Rockstar Games,Rockstar Games,18,0,9817,819,209,93,2000000-5000000,5.99
Jan,1,Rockstar Games,Rockstar Games,18,0,26877,3243,807,249,2000000-5000000,9.99
